,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
62,Eversharp Recycling Inc,1.0,[30W47R],2019.0,Asphalt and Road Material,70.0,95.5,140.0,155.0,105.0,115.0,200.0,195.0,180.0,475.0,225.0,185.0,2140.5,NR,Transfer Facility
63,Eversharp Recycling Inc,1.0,[30W47R],2019.0,Masonry,60.2,82.13,120.4,135.45,97.61,100.19,169.85,169.42,153.51,409.36,190.92,159.96,1849.0,NR,Transfer Facility
64,Eversharp Recycling Inc,1.0,[30W47R],2019.0,Concrete,46.44,202.53,187.91,124.7,180.6,194.79,379.26,218.44,178.02,107.5,119.97,21.93,1962.09,NR,Transfer Facility
65,Eversharp Recycling Inc,1.0,[30W47R],2019.0,Soil,47.0,60.0,50.0,18.0,89.0,173.0,206.0,24.0,91.0,38.0,105.0,105.0,1006.0,NR,Transfer Facility
66,Framitz Inc,1.0,[30W22],2019.0,Concrete,18.49,20.21,33.54,63.21,104.7,108.57,172.21,118.46,45.58,62.99,21.93,15.48,785.37,NR,Transfer Facility
67,Framitz Inc,1.0,[30W22],2019.0,General C&D Debris,2911.1,2136.95,1590.94,1629.12,2406.71,2149.9,1999.4,2062.63,1740.19,1854.18,1696.88,1491.31,23669.31,NR,Transfer Facility
68,Gershow Recycling of Freeport,1.0,[30CP0102],2020.0,Concrete,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,140.0,Transfer Facility
69,Gershow Recycling of Freeport,1.0,[30CP0102],2020.0,General C&D Debris,796.0,687.0,747.0,545.0,697.0,976.0,929.0,885.0,830.0,856.0,668.0,641.0,9257.0,140.0,Transfer Facility
70,Gershow Recycling of Freeport,1.0,[30CP0102],2020.0,"Rock, Stone, and Gravel",0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,140.0,Transfer Facility
71,Gershow Recycling of Freeport,1.0,[30CP0102],2019.0,General C&D Debris,765.0,758.0,944.0,1197.0,1258.0,1048.0,1158.0,1090.0,964.0,913.0,668.0,633.0,11396.0,140.0,Transfer Facility
72,Gershow Recycling of Freeport,1.0,[30CP0102],2019.0,"Rock, Stone, and Gravel",0.0,16.0,1.0,8.0,8.0,15.0,2.0,0.0,6.0,0.0,0.0,0.0,56.0,140.0,Transfer Facility
73,Gershow Recycling of Valley Stream,1.0,[30W10],2020.0,General C&D Debris,758.0,801.0,841.0,451.0,821.0,1032.0,993.0,1041.0,979.0,977.0,806.0,672.0,10172.0,140.0,Transfer Facility
74,Gershow Recycling of Valley Stream,1.0,[30W10],2020.0,"Rock, Stone, and Gravel",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,140.0,Transfer Facility
75,Gershow Recycling of Valley Stream,1.0,[30W10],2019.0,General C&D Debris,758.0,737.0,981.0,970.0,1124.0,1094.0,1042.0,1073.0,989.0,960.0,928.0,769.0,11425.0,140.0,Transfer Facility
76,Gershow Recycling of Valley Stream,1.0,[30W10],2019.0,"Rock, Stone, and Gravel",0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,140.0,Transfer Facility
